Country,Latest Inflation rate(%),Previous Inflation rate(%),Last updates(Month/year)
Seychelles,-1.02,0.64,May-23
Afghanistan,-1,1.9,Apr-23
Burkina Faso,-0.3,0.2,May-23
Brunei,0.2,0.4,Apr-23
China,0.2,0.1,May-23
Thailand,0.53,2.67,May-23
Djibouti,0.6,1.9,Apr-23
Bahrain,0.7,-0.1,Apr-23
Macau,0.85,0.86,Apr-23
Costa Rica,0.88,2.44,May-23
Panama,0.95,1.35,Apr-23
Niger,1,1.4,Apr-23
Cambodia,1.1,0.7,Apr-23
Oman,1.1,1.6,Apr-23
Armenia,1.3,3.2,May-23
Georgia,1.5,2.7,May-23
South Sudan,1.7,-6.2,May-23
Ecuador,1.97,2.44,May-23
Fiji,2,1.5,Mar-23
Taiwan,2.02,2.35,May-23
Hong Kong,2.1,1.7,Apr-23
Liechtenstein,2.2,2.6,May-23
Switzerland,2.2,2.6,May-23
Vietnam,2.43,2.81,May-23
Russia,2.5,2.3,May-23
Saudi Arabia,2.7,2.7,Apr-23
Greece,2.8,3,May-23
New Caledonia,2.8,3,Apr-23
Bolivia,2.9,2.7,May-23
Denmark,2.9,5.3,May-23
Equatorial Guinea,2.9,3,Dec-21
Jordan,2.93,3.91,Apr-23
Cyprus,3,3.7,May-23
Spain,3.2,4.1,May-23
United Arab Emirates,3.27,4.91,Apr-23
Bhutan,3.29,3.15,Apr-23
Malaysia,3.3,3.4,Apr-23
South Korea,3.3,4.2,May-23
Guyana,3.33,4.86,Apr-23
Tajikistan,3.4,3.6,Apr-23
Papua New Guinea,3.41,6.25,Dec-22
Japan,3.5,3.2,Apr-23
Luxembourg,3.6,3.7,May-23
Qatar,3.68,4.01,Apr-23
Kuwait,3.69,3.7,Apr-23
Belarus,3.7,4.7,May-23
Benin,3.8,6.9,Apr-23
Palestine,3.86,4.32,Apr-23
Mali,3.9,7.5,Apr-23
Puerto Rico,3.9,5.1,Apr-23
Maldives,3.91,3.97,Apr-23
Brazil,3.94,4.18,May-23
Indonesia,4,4.33,May-23
Iraq,4,5.26,Apr-23
Portugal,4,5.7,May-23
Tanzania,4,4.3,May-23
United States,4,4.9,May-23
Libya,4.1,2.9,Dec-22
Bermuda,4.2,4.5,Feb-23
India,4.25,4.7,May-23
Canada,4.4,4.3,Apr-23
El Salvador,4.42,5.44,May-23
Albania,4.7,4.6,May-23
Cape Verde,4.8,5.6,Apr-23
Aruba,4.9,5.9,Apr-23
Israel,5,5,Apr-23
France,5.1,5.9,May-23
Paraguay,5.1,5.3,May-23
Belgium,5.2,5.6,May-23
Dominican Republic,5.2,5.9,Apr-23
Ivory Coast,5.2,5.2,Apr-23
Central African Republic,5.3,8.1,Mar-23
Gabon,5.4,5.6,Dec-22
Kosovo,5.5,6.3,May-23
Bahamas,5.7,4.6,Mar-23
Singapore,5.7,5.5,Apr-23
Swaziland,5.7,5.6,Apr-23
Jamaica,5.8,6.2,Apr-23
Togo,5.8,6.9,May-23
Mexico,5.84,6.25,May-23
Belize,5.9,6.4,Apr-23
Cayman Islands,5.9,9.2,Dec-22
Trinidad and Tobago,6,7.3,Apr-23
Euro Area,6.1,7,May-23
Germany,6.1,7.2,May-23
Netherlands,6.1,5.2,May-23
Philippines,6.1,6.6,May-23
Eritrea,6.2,4.5,Dec-22
Somalia,6.2,5.7,Apr-23
Uganda,6.2,8,May-23
Namibia,6.3,6.1,May-23
Barbados,6.4,6.6,Mar-23
Malta,6.4,7.1,Apr-23
Guatemala,6.54,8.32,May-23
Honduras,6.58,7.44,May-23
Ireland,6.6,7.2,May-23
Lesotho,6.7,6.8,Apr-23
New Zealand,6.7,7.2,Mar-23
Norway,6.7,6.4,May-23
South Africa,6.8,7.1,Apr-23
Australia,7,7.8,Mar-23
Uruguay,7.1,7.61,May-23
Cameroon,7.32,8.18,Dec-22
Nepal,7.41,7.76,May-23
Italy,7.6,8.2,May-23
Morocco,7.8,8.2,Apr-23
Bosnia and Herzegovina,7.9,10.3,Apr-23
Botswana,7.9,9.9,Apr-23
Croatia,7.9,8.9,May-23
Finland,7.9,7.9,Apr-23
Mauritius,7.9,8.3,May-23
Peru,7.9,7.96,May-23
Kenya,8,7.9,May-23
East Timor,8.1,9.6,Apr-23
European Union,8.1,8.3,Apr-23
Mozambique,8.23,9.61,May-23
Guinea,8.27,8.04,Apr-23
Liberia,8.27,8.22,Feb-23
Faroe Islands,8.3,10.1,Mar-23
Senegal,8.3,9,May-23
Slovenia,8.4,9.4,May-23
Montenegro,8.6,10.5,Apr-23
Chile,8.7,9.9,May-23
United Kingdom,8.7,10.1,Apr-23
Austria,8.8,9.7,May-23
Solomon Islands,9.2,8.9,Mar-23
Nicaragua,9.47,9.53,May-23
Iceland,9.5,9.9,May-23
Tunisia,9.6,10.1,May-23
Mauritania,9.8,6.6,May-23
Algeria,9.9,9.8,Apr-23
Zambia,9.9,10.2,May-23
Bangladesh,9.94,9.94,May-23
Guinea Bissau,10,10.2,Apr-23
Uzbekistan,10.38,11,May-23
Sweden,10.5,10.6,Apr-23
Angola,10.62,10.59,May-23
Romania,10.64,11.23,May-23
Kyrgyzstan,10.7,12.7,Apr-23
Czech Republic,11.1,12.7,May-23
Estonia,11.3,13.5,May-23
Macedonia,11.3,13,May-23
Mongolia,11.3,12.2,Apr-23
Vanuatu,11.4,8.2,Dec-22
Azerbaijan,11.5,12.8,May-23
Bulgaria,11.6,14,Apr-23
Lithuania,11.7,14.5,May-23
Latvia,12.1,15.1,May-23
Colombia,12.36,12.82,May-23
Madagascar,12.4,11.57,Mar-23
Chad,12.5,9.6,Apr-23
Poland,13,14.7,May-23
Slovakia,13.8,14.8,Apr-23
Serbia,14.8,15.1,May-23
Ukraine,15.3,17.9,May-23
Kazakhstan,15.9,16.8,May-23
Moldova,16.3,18.1,May-23
Gambia,17.37,14.83,Apr-23
Turkmenistan,17.5,14.95,Dec-22
Myanmar,19.55,19.42,Jul-22
Sao Tome and Principe,20,22.8,Apr-23
Comoros,20.9,17.7,Dec-22
Hungary,21.5,24,May-23
Nigeria,22.22,22.04,Apr-23
Rwanda,22.4,28.4,May-23
Congo,24.93,22.28,Apr-23
Sri Lanka,25.2,35.3,May-23
Malawi,28.8,27,Apr-23
Ethiopia,30.8,33.5,May-23
Burundi,32.61,32.61,Apr-23
Egypt,32.7,30.6,May-23
Pakistan,38,36.4,May-23
Laos,38.86,39.89,May-23
Turkey,39.59,43.68,May-23
Ghana,41.2,45,Apr-23
Sierra Leone,43.05,41.5,Apr-23
Cuba,45.36,46.42,Apr-23
Haiti,48.3,48.2,Mar-23
Iran,54.6,55.5,May-23
Sudan,63.3,83.6,Feb-23
Suriname,65.7,59.4,Apr-23
Zimbabwe,86.5,75.2,May-23
Argentina,109,104,Apr-23
Syria,139,134,Aug-20
Lebanon,269,264,Apr-23
Venezuela,436,440,Apr-23
